"","France","Germany","Italy","Japan","United.Kingdom","United.States"
"2007-05-21",103.542334652682,105.061351968504,102.400480198511,80.9294962742176,127.658511333847,106.782456153996
"2007-05-28",103.547600101491,105.061832550488,102.433506625681,80.6711658640286,127.726364585818,106.629806493681
"2007-06-04",103.597383058917,105.020092128625,102.57592358209,80.4620390915348,128.080635757529,106.521580362361
"2007-06-11",103.363593731403,104.761732491616,102.345740895522,80.1640558843772,128.129819603035,107.180159750633
"2007-06-18",103.429218805793,104.813404419018,102.378333134328,79.1013951823813,128.745601348762,106.79373777518
"2007-06-25",103.517402499504,104.908480765437,102.465924776119,79.3489841706813,129.070214729098,106.694015975064
"2007-07-02",103.300215606765,105.612077301337,102.752040107217,78.9186747686784,128.100582286193,105.706631142688
"2007-07-09",103.469794679062,105.805266325728,102.91728879182,78.7374984118216,128.055605209047,105.250740082889
"2007-07-16",103.488182771239,105.817730133753,102.935649756776,78.8357265571054,128.87105917295,104.8342214328
"2007-07-23",103.36559549006,105.688937450826,102.831604288693,80.0428413202596,129.232831315208,104.87773830669
"2007-07-30",103.483421691133,105.436102027742,102.780835835513,81.3874790029198,128.628304684852,105.087979905671
"2007-08-06",103.782475606136,105.50367883499,102.940048436725,81.7532596685083,128.143885526013,104.646381148748
"2007-08-13",103.462880158338,105.155809898652,102.691253200993,84.0226045777427,127.716771894874,105.646095434462
"2007-08-20",103.501805244928,105.215858703139,102.756510967742,84.5844751381215,127.563951421347,105.361640648012
"2007-08-27",103.671846412667,105.402217061891,102.909458858561,84.1647119179163,128.032209026128,104.97
"2007-09-03",103.403921363815,105.180804388285,102.484812691509,83.9409968660225,127.886775719048,104.808985766896
"2007-09-10",103.776135396137,105.586205113135,102.830324206781,84.4310138417341,127.077712070703,103.995475266249
"2007-09-17",104.02359637367,105.834409638554,103.035598695265,83.1831039435884,124.838130087604,103.264345575794
"2007-09-24",104.271057351202,106.11777647174,103.257132549175,82.9065165839645,124.861581207846,102.356097143426
"2007-10-01",104.009381761068,105.799633844052,103.045216671593,81.7478632478633,125.61131309979,101.962750660435
"2007-10-08",103.874699518995,105.616057773006,102.882899201892,80.7781944444444,125.456925021456,101.785874822191
"2007-10-15",104.09916992245,105.869764028496,103.118259532959,81.3369497863248,125.263451353671,101.421839666734
"2007-10-22",104.062438401885,105.779007319215,103.085796039019,82.7197061965812,125.155965982679,100.996103637472
"2007-10-29",104.223827987103,105.950937622421,103.127785866978,81.3682939987223,125.537724096061,100.1228851041
"2007-11-05",104.506740105284,106.262359322034,103.297658221657,81.9720795249161,125.452825984252,99.2658748451053
"2007-11-12",104.649592513161,106.388140435835,103.44140839284,84.2568727084947,123.388079527559,99.8650030978934
"2007-11-19",105.072027490739,106.913946731235,103.898979360266,85.2428505034857,122.603086299213,100.02559417596
"2007-11-26",105.092434977578,106.932504600484,103.927324464443,85.0529904466822,123.041357952756,100.107948574969
"2007-12-03",104.836157432696,106.863373157486,103.522290748899,84.1015865397156,122.681419541152,100.091050875218
"2007-12-10",104.793293015997,106.803393328161,103.469695154185,82.9267124038085,122.482197978501,100.136149861808
"2007-12-17",104.411595591104,106.385602792863,103.101525991189,82.5451477761837,121.79078196695,100.792135121302
"2007-12-24",104.599382559501,106.619317300233,103.265381497797,81.7604611973392,120.171618482272,100.265296959771
"2007-12-31",104.695527236495,106.413027407198,103.842278148884,83.0919948030331,118.105573001065,99.6712073134029
"2008-01-07",104.553421365274,106.130099738549,103.808810594214,83.8851616645649,116.240930971391,99.8037640379852
"2008-01-14",104.644981400331,106.226630192699,103.902096364347,85.3975889029004,115.727901197605,99.56341164327
"2008-01-21",104.295018599669,105.850777573351,103.608043393276,86.4115783102144,116.568108449767,100.007139141206
"2008-01-28",104.510381256847,106.167361622049,103.798009147071,85.3118632867566,116.964696591475,98.7944222614729
"2008-02-04",103.770469773791,105.461439464494,103.044895370461,84.4105103274559,116.09413790795,98.5889900145621
"2008-02-11",103.654991419657,105.305767753201,102.929790740922,83.9292982367758,116.367241338912,98.5808227584773
"2008-02-18",103.896077808112,105.567951688009,103.168077517862,83.3615523929471,115.317439497908,98.4052267526524
"2008-02-25",104.303290951638,106.008338766007,103.559837134188,83.7604518891688,115.203162175732,97.2985635531517
"2008-03-03",104.98026556336,106.52922541806,103.977298184627,86.2430061305446,114.597276213098,97.029824747743
"2008-03-10",105.333522563264,106.957251027233,104.324420625724,87.2378083904315,115.2857804547,96.7156994158258
"2008-03-17",105.711142114885,107.424188055423,104.707869833912,90.1756499579276,113.206729725144,96.5103887413702
"2008-03-24",105.820773597614,107.538874343049,104.820886442642,88.8824070200745,113.009461655921,96.5555570897504
"2008-03-31",105.879876712135,107.011354190819,104.750352399322,86.7779045152203,112.729943830926,96.6337365137252
"2008-04-07",106.008265390139,106.972204240753,104.81007208073,86.1151594737489,111.63454567495,96.3597194367399
"2008-04-14",106.182801340354,107.149165731673,104.975254204709,85.9132679208164,111.4445195255,96.0471903136335
"2008-04-21",106.152359023456,107.155267852049,104.945037962518,84.5841485306775,111.807120443328,96.2322404523149
"2008-04-28",105.588745672131,106.568175673105,104.40853198926,84.2969022788181,112.709715591354,96.9688305257628
"2008-05-05",105.37149706928,106.364819518717,104.176937295003,84.8497877469864,112.295171218032,97.4781122687646
"2008-05-12",105.476976073796,106.460462184874,104.265514566853,85.0439858332298,111.572778500217,97.5421095045716
"2008-05-19",105.787327760161,106.816578495035,104.575535018329,85.2508490120542,111.677641959254,96.6255039336594
"2008-05-26",105.637223022965,106.629363063407,104.418511672776,84.5183844911147,112.221378413524,96.6874367425048
"2008-06-02",105.266596690398,105.95052737366,104.12123826087,83.8513236419281,112.048126376008,97.5419458541247
"2008-06-09",105.404467769867,106.112931661562,104.280352657005,82.5410150471818,112.199934645055,98.0544072619174
"2008-06-16",105.299036944391,105.962707695253,104.159506280193,81.7657842387146,112.386775591575,97.8718299182503
"2008-06-23",105.493678468347,106.157592840735,104.352860483092,81.9532721244581,112.466572245818,97.4900772905829
"2008-06-30",105.30648275351,106.758396822358,104.802736764129,82.7426234939385,112.275955157583,97.4191876635453
"2008-07-07",105.002276736812,106.542812021439,104.600289659168,81.8684555141867,111.534644714038,97.4901393855048
"2008-07-14",105.076916690689,106.579508039816,104.656830356281,82.4825215046861,111.985054419411,96.6625243549941
"2008-07-21",104.919567598732,106.408259954058,104.487208264942,81.3868763641032,112.299564644714,96.808084787496
"2008-07-28",104.705945961073,106.104588568468,104.289786233064,81.2282996296954,112.365130099829,97.2124136274054
"2008-08-04",104.434332133476,105.530558618012,104.163960488997,81.3692970743653,112.402335889976,97.7183576131257
"2008-08-11",103.622823231832,104.617481560559,103.388521271394,81.7179682948834,111.384340650621,99.4451010554917
"2008-08-18",103.388656484094,104.351082686336,103.151637750611,82.0560737208403,110.605182755885,99.6624968126241
"2008-08-25",103.451235528748,104.454795225155,103.222500342298,82.5146292047944,109.471684210526,99.7598072943881
"2008-09-01",103.011160967963,103.890224264347,102.506519480519,84.3767821916123,107.709609269739,100.71075862069
"2008-09-08",102.331944351915,103.109384495063,101.893733963007,85.3564835813553,108.32627108596,101.697188328913
"2008-09-15",102.702792593318,103.504874767817,102.308976780795,86.9527211905055,109.893456211264,101.556859416446
"2008-09-22",103.410225923386,104.381037833611,103.02053364817,85.9835769278072,111.018765831312,100.35374535809
"2008-09-29",102.535591854604,103.302207882835,102.203124441826,87.6625829706731,110.039357502643,101.853364955113
"2008-10-06",102.029762207225,102.716510798494,101.849691022964,93.4226266873202,110.084471794872,104.894357669123
"2008-10-13",102.041855101231,102.787370715277,101.869846107963,93.6149369329498,110.711689068826,106.012538513061
"2008-10-20",101.237677649861,101.98159223301,101.140232031017,98.5241314450098,108.543869365722,109.399788345613
"2008-10-27",100.481871774514,100.841759857341,100.305811512079,101.32213985395,106.115362483131,109.636916275954
"2008-11-03",100.590154398564,100.875659990035,100.43695085897,97.9288401253919,105.350030946661,106.178747670518
"2008-11-10",100.83410951526,101.292668858994,100.753742109469,100.067042842215,102.088005382028,107.481751770406
"2008-11-17",101.186937163375,101.788626008969,101.181511186576,102.724493207941,101.071577126382,109.110506895266
"2008-11-24",101.646621184919,102.31697219731,101.641564722333,102.986227795193,101.623127342624,108.676172195304
"2008-12-01",101.418417065313,102.883112814046,101.504918570592,106.572273809524,99.8692142711518,108.78241670586
"2008-12-08",102.390510787855,104.107790280338,102.529016988869,106.555364285714,98.3245504587156,107.337413225473
"2008-12-15",104.471840085912,106.708188767097,104.658010544816,107.155652380952,96.4429765545362,104.233849120497
"2008-12-22",104.685620033193,106.942918614803,104.860002343292,105.999463690476,93.5743151885831,104.253807732105
"2008-12-29",104.687510800859,106.866118703947,104.992889930289,104.881759201141,91.8032153374795,104.806187478225
"2009-01-05",103.227791068113,104.947044186047,103.677759851736,102.889635079459,95.7220730337079,105.533878016838
"2009-01-12",102.763172481188,104.54310503876,103.34463753414,107.544715126545,96.0926404494382,107.047691861553
"2009-01-19",102.598242939509,104.463941085271,103.243691377292,108.615739846969,92.4124550561798,108.423157156221
"2009-01-26",102.779263168181,104.721731395349,103.459716152946,108.594780459093,93.4712191011236,107.905853882133
"2009-02-02",102.279041539821,104.551687706351,102.890748239436,108.346574667324,97.0722983023444,109.298332146444
"2009-02-09",102.45810782677,104.743010293261,103.035889084507,106.68595505175,97.5313761115602,108.920512736237
"2009-02-16",102.301173328096,104.714515439891,102.929049295775,105.631659536717,97.4702970897332,110.63677750388
"2009-02-23",102.713629382304,105.172468440474,103.348345070423,101.949959586003,97.9471075181892,111.283893727746
"2009-03-02",102.792379156135,104.767260923845,103.262754939946,101.409170528073,97.2365763975155,113.059486098492
"2009-03-09",103.167019249465,105.049078651685,103.575006974041,100.745027760384,94.2714459627329,112.355479193167
"2009-03-16",104.010966556485,105.957383270912,104.386862262689,99.9597520350657,94.1749068322981,109.416753225514
"2009-03-23",104.353379545013,106.427755305868,104.73134676482,98.4602095595909,95.3018534161491,108.465338179175
"2009-03-30",103.897768695454,105.835232943703,104.276204537369,97.7457583066103,95.4612815184481,109.086074110259
"2009-04-06",103.480143623768,105.200980873261,103.802312408759,95.6773010187667,96.8458227360308,108.102141353944
"2009-04-13",103.019238950142,104.607791731066,103.316934890511,96.3619328686327,97.9150828516378,107.566723158581
"2009-04-20",102.795831007903,104.383068199382,103.137687591241,98.3594715281501,97.0565240847784,108.283297886209
"2009-04-27",103.002529505338,104.532981110281,103.356511556313,98.5205705093833,97.1964361904171,107.851457872981
"2009-05-04",103.086617389613,104.268341519792,103.414013977868,95.3925456300268,98.4358976346651,106.460168235068
"2009-05-11",103.580143940868,104.87827506501,103.922270238789,97.4950786058981,98.1058477439873,105.497923564432
"2009-05-18",103.56604318226,104.845960704999,103.883949330227,98.0966944772118,99.9497791691514,104.563920875744
"2009-05-25",104.081728068469,105.502346142733,104.430526499709,97.3014790348525,101.412275690718,103.728765123872
"2009-06-01",104.470315443381,106.252876183191,104.744423388653,96.0111353806228,102.834759790376,103.672162682216
"2009-06-08",104.10374586597,105.805593651401,104.367608645311,94.363035899654,103.450299761791,104.75405111759
"2009-06-15",103.880178706121,105.546534085476,104.164088382864,95.9426375432526,104.400329299667,105.099767346939
"2009-06-22",104.111802340199,105.787378525672,104.401864531069,97.0967223183391,104.433976179133,105.048926724976
"2009-06-29",103.962255880811,105.86836042346,104.512244321528,96.1747454189259,104.391679341851,104.607957567238
"2009-07-06",103.67357956854,105.769034482759,104.447332560834,98.697136926824,103.329958033918,105.175737273259
"2009-07-13",103.856301441424,105.994096551724,104.643130938586,99.2869357195806,103.627716010348,104.708425004876
"2009-07-20",103.942642546193,106.006262068965,104.663316338355,97.4616636662078,103.44906122449,103.351187634094
"2009-07-27",103.683619231885,105.649406896552,104.38677636153,96.5366108228317,103.639626329405,103.202866783694
"2009-08-03",104.238586893485,105.94577075553,104.724818681849,95.8405947334618,105.228330296346,102.287644303923
"2009-08-10",104.103693214769,105.781629991382,104.59557116665,95.3152481267395,104.028671717656,102.839760497975
"2009-08-17",104.015106321284,105.649912094226,104.512771977227,97.4580004281738,103.43678718711,103.036654876
"2009-08-24",104.272813647787,105.893083596668,104.742994113674,97.3235613359024,102.040495828138,102.600239502026
"2009-08-31",104.084814310457,105.657053242482,104.586141557544,98.657739864129,101.925724307884,103.104909180579
"2009-09-07",104.307412997501,105.890781184536,104.799207949309,98.7105446224256,102.513745687531,102.008633884133
"2009-09-14",104.586562199577,106.179504475338,105.059065668203,99.4390890368212,101.173060620996,101.392463468047
"2009-09-21",104.791405498942,106.395542182442,105.222232142857,98.9107395464947,99.2285707244949,101.256662751344
"2009-09-28",104.483613891197,105.990761350045,104.889248786966,100.572729270853,98.083985829327,101.645616099484
"2009-10-05",104.617282895997,106.095945587259,104.976787484451,100.37804054054,97.3477186963979,100.720953439046
"2009-10-12",104.874239034668,106.410489145891,105.218303128887,98.7766891891892,97.2325965089295,99.8614766185233
"2009-10-19",105.03684409117,106.595989193289,105.379313558511,97.5366683991684,99.3305991322773,99.7175547924452
"2009-10-26",104.960560237502,106.58389136411,105.328997799253,97.6003118503119,99.8268154575722,100.593248156752
"2009-11-02",104.747863283868,106.072206994598,104.977991390032,98.4064072435436,100.6452276053,100.517464285714
"2009-11-09",104.828123695548,106.060147853284,105.0181635894,98.3083033233872,100.710823017599,99.6357321428571
"2009-11-16",104.623459645764,105.784797459957,104.799225102841,99.1135730013376,101.038800079098,99.4638348214286
"2009-11-23",104.938481761608,106.194808264619,105.126628527696,100.762945158967,99.9554819062685,99.1746428571428
"2009-11-30",105.070412531703,106.897061054385,105.198734251342,100.520896179869,100.07277804624,98.4036065308908
"2009-12-07",104.549037635961,106.428002288766,104.675215467488,99.4345403899721,99.742688341478,99.2035046502224
"2009-12-14",104.023272307248,105.857440396719,104.165309734513,98.928217270195,100.524420863668,99.9403885968459
"2009-12-21",103.798517662913,105.570136181576,103.900319353598,97.4092479108635,99.7845668694526,100.326950667206
"2009-12-28",103.771018231427,105.397938686331,103.923216186545,96.3460010025051,99.7210471848088,100.249806516803
